Workers,Size,ComputeTime,IOTime,TotalTime
225,10000,0.190599,0.832330,1.025897
226,10000,0.190651,0.833140,1.026633
227,10000,0.190542,0.846229,1.039393
228,10000,0.191280,0.836044,1.031082
229,10000,0.190986,0.818039,1.012820
230,10000,0.187154,0.831724,1.021330
231,10000,0.186272,0.826606,1.016220
232,10000,0.186980,0.853124,1.044262
233,10000,0.186030,0.816925,1.006691
234,10000,0.185835,0.815967,1.005163
235,10000,0.183002,0.876168,1.062216
236,10000,0.183352,0.828855,1.015861
237,10000,0.182713,0.801546,0.987705
238,10000,0.183232,0.839503,1.026678
239,10000,0.182938,0.811865,0.997968
240,10000,0.183175,0.851455,1.037903
241,10000,0.179041,0.817354,1.000239
242,10000,0.178783,0.819856,1.001644
243,10000,0.179233,0.826467,1.009248
244,10000,0.179537,0.806278,0.989588
245,10000,0.179697,0.819594,1.003224
246,10000,0.174901,0.806456,0.984663
247,10000,0.174603,0.793112,0.971883
248,10000,0.175876,0.821799,1.001726
249,10000,0.175969,0.817890,0.997155
250,10000,0.176120,0.814732,0.994469
251,10000,0.176064,0.814361,0.993848
252,10000,0.175989,0.806813,0.986831
253,10000,0.172469,0.796716,0.973131
254,10000,0.172355,0.819032,0.995235
255,10000,0.171729,0.862472,1.038295
256,10000,0.172551,0.811676,0.984918
